First_Name,EMail,Age,Gender,Location_Preferences,Latitude,Longitude,Country,City,Languages_Preferred,Last_Seen,Response_Time,Programming_and_Software_Development_off,Project_Management_off,Accounting_and_Finance_off,Marketing_and_Advertising_off,Sales_and_Customer_Service_off,Human_Resources_and_Leadership_off,Graphic_Design_and_Illustration_off,Photography_and_Photo_Editing_off,Music_instruments_Composition_and_Production_off,Writing_and_Editing_off,Arts_and_Crafts_and_DIY_Projects_off,Learning_Foreign_Languages_off,Written_and_Oral_Communication_in_Various_Languages_off,Interpretation_and_Translation_off,Computer_and_Software_Application_Operation_off,Network_Administration_and_IT_Support_off,Electronics_and_Robotics_off,Web_Design_and_Development_off,Data_Analysis_and_Visualization_off,Interpersonal_Communication_off,Conflict_Resolution_and_Mediation_off,Empathy_and_Emotional_Intelligence_off,Leadership_Skills_and_Teamwork_off,Networking_and_Relationship_Management_off,Cooking_and_Baking_off,Gardening_and_Farming_off,DIY_and_Repairs_off,Driving_and_Vehicle_Maintenance_off,First_Aid_and_Life_Saving_Techniques_off,Mathematics_and_Sciences_off,History_and_Social_Sciences_off,Literature_and_Philosophy_off,Research_Methods_and_Academic_Writing_off,Academic_Reading_and_Critique_off,Time_Management_and_Organization_off,Stress_Management_and_Mindfulness_off,Financial_Planning_and_Budgeting_off,Self_Defense_and_Personal_Safety_off,Healthcare_and_Nutrition_off,Count_Programming_and_Software_Development_off,Count_Project_Management_off,Count_Accounting_and_Finance_off,Count_Marketing_and_Advertising_off,Count_Sales_and_Customer_Service_off,Count_Human_Resources_and_Leadership_off,Count_Graphic_Design_and_Illustration_off,Count_Photography_and_Photo_Editing_off,Count_Music_instruments_Composition_and_Production_off,Count_Writing_and_Editing_off,Count_Arts_and_Crafts_and_DIY_Projects_off,Count_Learning_Foreign_Languages_off,Count_Written_and_Oral_Communication_in_Various_Languages_off,Count_Interpretation_and_Translation_off,Count_Computer_and_Software_Application_Operation_off,Count_Network_Administration_and_IT_Support_off,Count_Electronics_and_Robotics_off,Count_Web_Design_and_Development_off,Count_Data_Analysis_and_Visualization_off,Count_Interpersonal_Communication_off,Count_Conflict_Resolution_and_Mediation_off,Count_Empathy_and_Emotional_Intelligence_off,Count_Leadership_Skills_and_Teamwork_off,Count_Networking_and_Relationship_Management_off,Count_Cooking_and_Baking_off,Count_Gardening_and_Farming_off,Count_DIY_and_Repairs_off,Count_Driving_and_Vehicle_Maintenance_off,Count_First_Aid_and_Life_Saving_Techniques_off,Count_Mathematics_and_Sciences_off,Count_History_and_Social_Sciences_off,Count_Literature_and_Philosophy_off,Count_Research_Methods_and_Academic_Writing_off,Count_Academic_Reading_and_Critique_off,Count_Time_Management_and_Organization_off,Count_Stress_Management_and_Mindfulness_off,Count_Financial_Planning_and_Budgeting_off,Count_Self_Defense_and_Personal_Safety_off,Count_Healthcare_and_Nutrition_off,Sum_Skills_Off,Sum_Skills_Rec,Usability,Speed_Performance,Feature_Satisfaction,Security_Satisfaction,Customer_Support
Karina,karina.geisler@gmail.com,29,Female,Local or Remote,52.38548860145461,13.145874048501865,Germany,Berlin,"['Punjabi', 'German']",Yesterday,Within 24 hours,,,,,,,,,,,,,,,Advanced,Novice,Intermediate,Novice,Advanced,Advanced,Novice,Novice,Intermediate,Intermediate,,,,,,Advanced,Novice,Expert,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Dissatisfied
Roger,roger.prat@protonmail.com,24,Male,Local or Remote,52.352044791034174,13.315057731218044,Germany,Berlin,"['Punjabi', 'Arabic']",Within a Week,Within 24 hours,Expert,Beginner,Beginner,Advanced,Expert,Expert,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Advanced,Intermediate,Novice,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,18.0,Satisfied,Satisfied,Neutral or Average,Satisfied,Very Dissatisfied
Gertraud,gertraud.smith@1und1.de,24,Female,Remote Only,52.45856405921011,13.236586845211352,Germany,Berlin,"['French', 'Mandarin Chinese', 'Spanish', 'English', 'Japanese']",Within a Week,Within a week,,,,,,,,,,,,,,,,,,,,Novice,Beginner,Intermediate,Expert,Novice,,,,,,,,,,,Novice,Intermediate,Advanced,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,6.0,7.0,Dissatisfied,Neutral or Average,Neutral or Average,Satisfied,Very Satisfied
Olivier,olivier.becerra@t-online.de,27,Female,Remote Only,52.43946792718714,13.110088759607876,Germany,Berlin,"['English', 'Italian']",Within a Week,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Advanced,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,8.0,9.0,Dissatisfied,Neutral or Average,Satisfied,Dissatisfied,Very Satisfied
Gabriel,gabriel.akçay@aol.com,31,Female,Local or Remote,52.53753942958559,13.573370630107554,Germany,Berlin,"['German', 'Ukrainian', 'Romanian', 'English', 'Turkish']",Within a Week,Within 24 hours,,,,,,,,,,,,,,,,,,,,Novice,Expert,Novice,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,15.0,16.0,Dissatisfied,Neutral or Average,Satisfied,Dissatisfied,Satisfied
Helga,helga.bodziony@outlook.com,23,Prefer not to say,Local or Remote,52.34457187235518,13.438293465953572,Germany,Berlin,"['German', 'Portuguese', 'Spanish', 'Arabic']",Within a Week,Within a week,Advanced,Novice,Advanced,Intermediate,Novice,Novice,,,,,,,,,Beginner,Intermediate,Novice,Novice,Beginner,,,,,,Beginner,Advanced,Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,6.0,Neutral or Average,Very Satisfied,Neutral or Average,Very Dissatisfied,Very Dissatisfied
Cüneyit,cüneyit.jarosiewicz@gmail.com,25,Male,Local or Remote,52.52083970422602,13.431771258061149,Germany,Berlin,"['Arabic', 'Punjabi', 'Polish', 'English', 'Hindi']",Today,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Novice,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,7.0,6.0,Very Satisfied,Dissatisfied,Neutral or Average,Neutral or Average,Very Dissatisfied
Lucy,lucy.jähn@1und1.de,23,Female,Local Only,52.43779331524414,13.70084352114271,Germany,Berlin,"['Polish', 'Punjabi']",Today,Within a week,Novice,Novice,Intermediate,Intermediate,Intermediate,Beginner,Novice,Beginner,Intermediate,Novice,Expert,,,,Expert,Advanced,Novice,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,Dissatisfied,Very Dissatisfied,Neutral or Average,Very Dissatisfied,Very Satisfied
Atenulf,atenulf.domino@freenet.de,25,Diverse,Remote Only,52.35246058743249,13.479397093907869,Germany,Berlin,['Punjabi'],Within a Week,Within a week,,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied
Ülküdeş,ülküdeş.gülen@icloud.com,28,Prefer not to say,Remote Only,52.36210738659129,13.362082914633692,Germany,Berlin,"['Hindi', 'French', 'English', 'Italian', 'Polish']",Within a Week,Within a week,Intermediate,Advanced,Novice,Expert,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Novice,Novice,Novice,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,12.0,Dissatisfied,Satisfied,Very Dissatisfied,Very Satisfied,Dissatisfied
Maksymilian,maksymilian.vasari@mail.com,31,Female,Local or Remote,52.54588513134183,13.69227919842488,Germany,Berlin,"['Polish', 'Ukrainian', 'Punjabi', 'Turkish', 'Italian']",Within a Week,Within 24 hours,,,,,,,Novice,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,Beginner,Novice,Novice,Novice,Expert,,,,,,Advanced,Beginner,Intermediate,Novice,Expert,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,Satisfied,Neutral or Average,Dissatisfied,Very Satisfied,Satisfied
Eryk,eryk.davies@unitybox.de,23,Diverse,Local or Remote,52.51810098095565,13.521227398757857,Germany,Berlin,"['Portuguese', 'French', 'English', 'Hindi', 'Mandarin Chinese']",Recently,Within 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Novice,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,23.0,24.0,Very Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral or Average
Damian,damian.manço@zoho.com,25,Diverse,Local or Remote,52.54586068620589,13.540149163728612,Germany,Berlin,"['Turkish', 'Romanian', 'Italian', 'Spanish', 'Ukrainian']",Within a Month,Within a month,,,,,,,Intermediate,Intermediate,Expert,Advanced,Advanced,,,,,,,,,Beginner,Advanced,Intermediate,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,Very Satisfied,Neutral or Average,Satisfied,Neutral or Average,Very Dissatisfied
Daniel,daniel.savorgnan@outlook.com,24,Female,Local Only,52.40191551279882,13.432112500558684,Germany,Berlin,"['Portuguese', 'Turkish']",Within a Week,Within 24 hours,Novice,Beginner,Expert,Intermediate,Intermediate,Beginner,Novice,Novice,Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,23.0,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Very Satisfied
Hayret,hayret.panzera@zoho.com,29,Female,Local Only,52.50209545040656,13.19485396806792,Germany,Berlin,['Italian'],Recently,Within a month,Novice,Beginner,Novice,Intermediate,Beginner,Intermediate,,,,,,,,,,,,,,Expert,Novice,Novice,Intermediate,Novice,Beginner,Novice,Novice,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,15.0,12.0,Neutral or Average,Satisfied,Very Dissatisfied,Very Satisfied,Neutral or Average
Victoriano,victoriano.saraceno@aol.com,30,Prefer not to say,Local Only,52.35955470297304,13.296487478581378,Germany,Berlin,"['Arabic', 'Polish', 'Russian', 'Bengali']",Within a Month,Within a week,,,,,,,Beginner,Novice,Intermediate,Beginner,Advanced,Intermediate,Novice,Novice,Novice,Novice,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,6.0,Dissatisfied,Satisfied,Neutral or Average,Satisfied,Very Satisfied
Justyna,justyna.andryszczyk@1und1.de,27,Male,Local or Remote,52.38769925369768,13.118044638623369,Germany,Berlin,"['German', 'Italian', 'Russian']",Within a Month,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,7.0,Satisfied,Very Dissatisfied,Neutral or Average,Neutral or Average,Very Dissatisfied
Sophie,sophie.soriano@zoho.com,28,Female,Remote Only,52.40379826405936,13.47645085883579,Germany,Berlin,"['Mandarin Chinese', 'French', 'Turkish', 'Ukrainian', 'Bengali']",Recently,Within a week,Expert,Intermediate,Expert,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,15.0,Neutral or Average,Neutral or Average,Neutral or Average,Very Dissatisfied,Satisfied
Lucia,lucia.green@mail.com,24,Female,Local or Remote,52.67094773526781,13.238892172581185,Germany,Berlin,"['English', 'Bengali']",Within a Week,Within a week,,,,,,,,,,,,,,,Novice,Novice,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,12.0,13.0,Neutral or Average,Dissatisfied,Satisfied,Very Dissatisfied,Dissatisfied
Susi,susi.martins@icloud.com,28,Male,Local or Remote,52.61303327393084,13.101678594082394,Germany,Berlin,"['English', 'Spanish', 'Romanian', 'Punjabi', 'Italian']",Within a Week,Within a week,,,,,,,Expert,Beginner,Advanced,Intermediate,Novice,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Intermediate,Novice,Beginner,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,11.0,Neutral or Average,Neutral or Average,Satisfied,Satisfied,Neutral or Average
Vedat,vedat.söding@t-online.de,24,Male,Local or Remote,52.62477867837943,13.566881503690954,Germany,Berlin,['Bengali'],Within a Week,Within a month,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,Satisfied,Neutral or Average,Neutral or Average,Neutral or Average,Dissatisfied
Hartmut,hartmut.guerra@gmail.com,27,Female,Remote Only,52.608554848384095,13.384968165656032,Germany,Berlin,"['French', 'Mandarin Chinese', 'Portuguese']",Within a Week,Within a month,,,,,,,,,,,,Expert,Novice,Beginner,Advanced,Novice,Advanced,Novice,Advanced,,,,,,,,,,,,,,,,Novice,Beginner,Expert,Novice,Beginner,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Very Satisfied,Neutral or Average,Very Satisfied,Very Satisfied,Very Satisfied
Gabriel,gabriel.andrade@freenet.de,29,Male,Local Only,52.34695557717608,13.343933811679044,Germany,Berlin,"['French', 'Japanese', 'Punjabi', 'Spanish']",Today,Within a week,,,,,,,,,,,,,,,Beginner,Intermediate,Expert,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,Satisfied,Very Satisfied,Very Dissatisfied,Satisfied,Neutral or Average
Wiktor,wiktor.azevedo@arcor.de,26,Prefer not to say,Local or Remote,52.52816199181032,13.51059343401478,Germany,Berlin,"['Spanish', 'Punjabi']",Today,Within 24 hours,Expert,Advanced,Novice,Intermediate,Novice,Novice,,,,,,Beginner,Novice,Intermediate,,,,,,,,,,,,,,,,Advanced,Novice,Novice,Advanced,Beginner,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,Very Satisfied,Dissatisfied,Very Satisfied,Very Dissatisfied,Neutral or Average
Kamil,kamil.landa@arcor.de,22,Male,Local Only,52.35750489513879,13.359114771728091,Germany,Berlin,"['Romanian', 'German']",Within a Week,Within a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Beginner,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,5.0,Satisfied,Neutral or Average,Very Satisfied,Neutral or Average,Very Dissatisfied
Aleksander,aleksander.schönland@protonmail.com,25,Female,Local or Remote,52.65205157662948,13.358614933583382,Germany,Berlin,"['Spanish', 'Japanese', 'French']",Within a Week,Within 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Beginner,Beginner,Intermediate,Intermediate,Novice,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,Very Satisfied,Neutral or Average,Neutral or Average,Neutral or Average,Satisfied
Alexandrie,alexandrie.navarro@gmail.com,25,Male,Local or Remote,52.5435488785347,13.32515568952664,Germany,Berlin,['Portuguese'],Within a Week,Within 24 hours,,,,,,,,,,,,Expert,Advanced,Novice,,,,,,,,,,,Intermediate,Intermediate,Advanced,Beginner,Advanced,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,22.0,Very Satisfied,Satisfied,Dissatisfied,Neutral or Average,Very Satisfied
Gianluca,gianluca.junken@outlook.com,25,Female,Local Only,52.40488905786563,13.088653701437671,Germany,Berlin,"['German', 'Mandarin Chinese', 'Russian', 'Portuguese', 'Italian']",Within a Week,Within a month,,,,,,,Beginner,Expert,Beginner,Novice,Expert,,,,Novice,Advanced,Expert,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Dissatisfied
Sibille,sibille.vaz@outlook.com,31,Diverse,Local Only,52.44541579027268,13.535033319240805,Germany,Berlin,"['Polish', 'Italian', 'Bengali']",Within a Month,Within a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Novice,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,11.0,13.0,Very Satisfied,Neutral or Average,Dissatisfied,Very Dissatisfied,Satisfied
Esther,esther.simpson@mail.com,32,Male,Local or Remote,52.43802641276507,13.200571105308894,Germany,Berlin,"['Mandarin Chinese', 'Romanian']",Within a Week,Within a week,,,,,,,Expert,Novice,Novice,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,19.0,Neutral or Average,Neutral or Average,Satisfied,Very Dissatisfied,Satisfied
Frederico,frederico.stiffel@aol.com,30,Female,Remote Only,52.3508228270008,13.637914977350126,Germany,Berlin,"['English', 'Italian', 'French', 'Turkish']",Recently,Within a week,Intermediate,Novice,Expert,Beginner,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Novice,Novice,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,Satisfied,Neutral or Average,Neutral or Average,Satisfied,Neutral or Average
Frédérique,frédérique.duval@1und1.de,28,Prefer not to say,Local or Remote,52.61741962256267,13.618647288235252,Germany,Berlin,"['Russian', 'Turkish']",Within a Week,More than a month,Novice,Expert,Beginner,Novice,Intermediate,Advanced,,,,,,Advanced,Intermediate,Beginner,,,,,,,,,,,Expert,Beginner,Novice,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,9.0,8.0,Neutral or Average,Satisfied,Neutral or Average,Very Dissatisfied,Satisfied
Karl,karl.borrell@web.de,24,Female,Local Only,52.468410886110846,13.732581887687644,Germany,Berlin,['Polish'],Within a Week,Within a month,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,9.0,10.0,Dissatisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Neutral or Average
Capucine,capucine.mccarthy@gmail.com,29,Diverse,Remote Only,52.624090914166274,13.741981720243906,Germany,Berlin,"['Mandarin Chinese', 'Japanese']",Within a Week,Within a week,Intermediate,Advanced,Novice,Intermediate,Intermediate,Novice,,,,,,,,,,,,,,,,,,,Novice,Novice,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,Satisfied,Neutral or Average,Satisfied,Dissatisfied,Satisfied
Kevin,kevin.riehl@zoho.com,27,Male,Local or Remote,52.63897125180944,13.5024362590847,Germany,Berlin,"['Portuguese', 'Romanian']",Yesterday,Within a month,,,,,,,,,,,,,,,,,,,,Expert,Novice,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,13.0,14.0,Dissatisfied,Very Dissatisfied,Neutral or Average,Very Satisfied,Very Satisfied
Dawid,dawid.sezer@hotmail.com,24,Female,Remote Only,52.4002483062131,13.220175461194058,Germany,Berlin,"['French', 'Punjabi', 'Italian']",Today,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Beginner,Expert,Intermediate,Expert,Advanced,Intermediate,Advanced,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,18.0,23.0,Neutral or Average,Very Satisfied,Satisfied,Satisfied,Very Satisfied
Konstanty,konstanty.perret@1und1.de,28,Female,Local or Remote,52.450717662722695,13.289189544957182,Germany,Berlin,"['Mandarin Chinese', 'French', 'English', 'Russian', 'Polish']",Over a Month Ago,Within a month,,,,,,,,,,,,,,,Expert,Expert,Advanced,Intermediate,Beginner,,,,,,Intermediate,Beginner,Beginner,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral or Average
Rafał,rafał.pascal@hotmail.com,27,Female,Remote Only,52.63025948011204,13.39518857125576,Germany,Berlin,"['Italian', 'Turkish', 'Japanese']",Within a Week,More than a month,Beginner,Advanced,Intermediate,Novice,Intermediate,Intermediate,,,,,,Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Novice,Novice,Advanced,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,12.0,Neutral or Average,Dissatisfied,Neutral or Average,Very Dissatisfied,Dissatisfied
Feza,feza.oleksa@aol.com,23,Male,Local or Remote,52.54331699587636,13.107438315006553,Germany,Berlin,"['Russian', 'French', 'Mandarin Chinese', 'Punjabi']",Within a Week,Within a week,,,,,,,,,,,,Novice,Beginner,Novice,,,,,,Novice,Expert,Expert,Intermediate,Intermediate,Beginner,Novice,Intermediate,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,19.0,16.0,Neutral or Average,Very Satisfied,Neutral or Average,Very Satisfied,Very Satisfied
Perla,perla.laporte@arcor.de,24,Diverse,Remote Only,52.62593408198797,13.377775388830846,Germany,Berlin,['Punjabi'],Over a Month Ago,Within a month,,,,,,,Expert,Expert,Beginner,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Beginner,Novice,Advanced,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,28.0,Dissatisfied,Neutral or Average,Satisfied,Very Dissatisfied,Dissatisfied
Aurelia,aurelia.salz@aol.com,26,Male,Local or Remote,52.451358122511685,13.356784197997989,Germany,Berlin,"['Arabic', 'Russian']",Within a Week,Within a week,Novice,Intermediate,Intermediate,Beginner,Beginner,Intermediate,,,,,,,,,Novice,Intermediate,Expert,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,28.0,31.0,Neutral or Average,Very Dissatisfied,Satisfied,Neutral or Average,Dissatisfied
Dani,dani.pawlaczek@gmail.com,29,Male,Remote Only,52.60686139921396,13.587542233750987,Germany,Berlin,"['Hindi', 'Bengali', 'Russian', 'Ukrainian', 'Mandarin Chinese']",Within a Week,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,21.0,21.0,Neutral or Average,Satisfied,Satisfied,Satisfied,Neutral or Average
Marianela,marianela.mangold@mail.com,24,Female,Local or Remote,52.35766693046433,13.541225219077118,Germany,Berlin,"['Italian', 'Ukrainian']",Within a Week,Within a week,,,,,,,,,,,,,,,Intermediate,Novice,Beginner,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,Dissatisfied,Neutral or Average,Satisfied,Dissatisfied,Neutral or Average
Vincent,vincent.almeida@gmail.com,26,Diverse,Local or Remote,52.46162431055808,13.726980041593055,Germany,Berlin,"['French', 'English']",Recently,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Beginner,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,13.0,15.0,Satisfied,Very Satisfied,Dissatisfied,Neutral or Average,Satisfied
Hans Jürgen,hans jürgen.rosado@protonmail.com,28,Female,Local or Remote,52.66962060766262,13.550211106263609,Germany,Berlin,"['Mandarin Chinese', 'Portuguese', 'Russian', 'Bengali']",Recently,Within a month,Expert,Beginner,Novice,Novice,Beginner,Beginner,,,,,,,,,,,,,,Beginner,Novice,Expert,Intermediate,Advanced,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,Dissatisfied,Dissatisfied,Neutral or Average,Very Satisfied,Satisfied
Marta,marta.yılmaz@arcor.de,23,Prefer not to say,Local Only,52.64220261323752,13.421369149328056,Germany,Berlin,"['Portuguese', 'English', 'Arabic', 'Ukrainian']",Within a Week,Within a week,,,,,,,Beginner,Beginner,Intermediate,Novice,Novice,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Intermediate,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,Neutral or Average,Satisfied,Dissatisfied,Neutral or Average,Neutral or Average
Mariano,mariano.legendre@protonmail.com,24,Female,Local Only,52.45418451894646,13.627654346257389,Germany,Berlin,"['English', 'Polish']",Recently,Within a week,Advanced,Intermediate,Novice,Beginner,Advanced,Beginner,,,,,,Expert,Advanced,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,Neutral or Average,Very Satisfied,Neutral or Average,Satisfied,Satisfied
Yahşikan,yahşikan.łasica@freenet.de,24,Female,Local or Remote,52.42109302841767,13.60081758146489,Germany,Berlin,"['Arabic', 'Italian', 'English', 'Punjabi']",Yesterday,Within 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Beginner,Beginner,Expert,Novice,Advanced,Novice,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,14.0,11.0,Satisfied,Very Satisfied,Neutral or Average,Satisfied,Satisfied
Maksymilian,maksymilian.bilge@icloud.com,29,Male,Local or Remote,52.356254169194,13.511200835323953,Germany,Berlin,"['Arabic', 'Japanese', 'Ukrainian', 'English']",Within a Week,Within 24 hours,,,,,,,,,,,,Novice,Beginner,Advanced,,,,,,Beginner,Novice,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,6.0,6.0,Very Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Very Satisfied
